name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
 Susannah York	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Raymond Massey	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	 	 	 	 	 	-1	 	 	-3	 	 	-6	 	 	 	 	 	 	 	-49	 	 	 	 	 	 
Bruce Dern	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	-62	 
Dorothy McGuire	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-34	 	 	24	 	 	 	 	 	 	 	-13	-13	 
Jean Simmons	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	58	 	 	 
 Jeff Chandler	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	 	 	 	 	 	 	 	1	 	-9	 	-1
Celia Johnson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	 	 	 	-45	 	-28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Oprah Winfrey	 	 	 	 	 	 	 	 	-8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Joan Blondell	 	 	 	 	 	 	 	 	 	 	 	 	 	-1	 	 	 	 	-4	-4	-4	-14	 	 	9	 	 	-27	 	-45	 	42	 	 	 	 	 	 	 	57	 	 	 	 	 	8	 	 	 	-26
 Jennifer Lawrence	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Thomas Haden Church	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Eva Le Gallienne	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	48	 	 	 	 	 	 
Gene Tierney	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	 	 	 	 	 	 	 	 	 	 	 
 Jean Dujardin	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-6	 	 	 
 Lana Turner	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	16	 	 	 	 	 	 	 	 	-54	-54	 	-7	 	2	 	-43	 	 	 	 	 	 	 	 	-17	-17	 	 	 	13
 Greta Garbo	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-7	 	 	33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Anthony Quinn	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	22	 	 	 	 
Walter Matthau	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	62	 
 Hope Lange	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-12	 	21	 	 	 	 	 	-16	 	26	 	 
Catherine Zeta-Jones	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Paul Muni	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	 	 	 	-11	 	57	57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
James Gleason	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	 	 	 	 	-53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
James Mason	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-10	 	 	 	 	 	 	 	 	 	41	41
 Kim Stanley	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-41	 	 	 
 Rosamund Pike	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4
Catherine Keener	 	 	 	 	 	 	 	 	-20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-16	 	 	 	 	 
 Victor Buono	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-62	 	 	 	 	 	 	 	51
Elizabeth McGovern	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-67	 
 Julie Walters	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	42	 	 	 	 	 	 	 	 	 
Gregory La Cava	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-4	 	 	 	 	-28	 	 	 	 	 	 	 	 	 	-36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Hugh Jackman	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-24	 	 	 	 	 
Margaret Rutherford	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	53	 	 
Harvey Keitel	 	 	 	 	 	 	 	 	4	 	 	 	 	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Sam Wood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	19	 	 	 	 	 	 	-7	-7	-7	-7	 	 	-46	 	33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Jackie Cooper	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Burgess Meredith	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	39	 	 	 	-4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alan Alda	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	10	 	 	 	 	 	 	 	42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Barbara Barrie	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-10	 	 	 	 	33	 	 	 	 	 	 	-59	 	 	 	 	 	-32	 	 
 Wes Anderson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
George Segal	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Angela Bassett	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Irene Dunne	 	-3	 	 	 	 	 	 	-15	 	 	 	 	 	 	 	 	 	 	-29	-29	 	 	1	 	 	 	 	-37	-37	-37	 	 	 	 	 	-48	 	 	 	 	 	 	 	 	 	 	 	 	 
Greer Garson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-5	 	 	9	 	 	 	 	 	 	-37	 	-55	 	 	 	 	 	 	 	 	-20	 
Adrien Brody	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-45	 
 Terrence Malick	 	 	 	 	 	 	 	 	 	 	-1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Isabelle Adjani	 	 	 	 	 	 	 	 	-1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-64	 	 	 	 	 	 
 Jennifer Jason Leigh	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	44	 	 	 	 	 	 
Ann Sothern	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	 	 	 	 	18	 	-12	-12	 	14	 	 	 	51	51	 	 	14	 	-7	-7	 	 	 	 	 	 	 	 	 	 	 
 Brandon deWilde	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	65	 	 	 	 	 	 	 	 
Barbra Streisand	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-5	 	 	 	 	 	 	 
 Richard Widmark	 	 	 	 	-11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Jeremy Irons	 	 	 	 	 	 	 	 	 	 	 	 	-4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Margaret Sullavan	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	59	 	 	 	 	 	 	 	 	 	 	-67
Denholm Elliott	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-8	 	 	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Michael Redgrave	 	 	 	-2	 	 	 	 	 	 	 	-2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Paulette Goddard	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	 	 	17	 	 	 	1	 	 	 	 	 	 	14	 	-16	 	 	 	 	 	 	 	 	 	 	-3	 	 	 
James Dean	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-9	 	 	 	 	 	 	 	 	 
 Howard Rollins	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-36	 	 	 	 	 	 	 	 	 
Burgess Meredith	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	-36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Gloria Swanson	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	-4	 	 	 	 	 	 	-11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Peter Finch	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	40	40	 
Frederic Forrest	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	51	 	 	 	 	 	 	 	 
Adriana Barraza	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Robert Forster	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-22	 	 	 	 	 	 	 
 Thelma Ritter	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-6	 	 	-15	 	-23	 	 	 	 	-40	 	 
 Laura Linney	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Eileen Brennan	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
James Cagney	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-3	-3	0	 	 	 	 	 	 	 	 	 	-16	 	 	-49	 	18	 	 	-29	 	45	 	 	 	 	 	 	 	 	 
 Dyan Cannon	 	 	 	 	 	 	 	 	-11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Gloria Grahame	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-43	 	 	 	 	 	 	-14	 	-34	-31	 	 	-19	 	 
 Julie Christie	 	 	 	 	 	 	 	 	-6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Winona Ryder	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Dorothy Malone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-48	 	 	 	 	 	 
Hume Cronyn	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	 	 	 	 	 	 	 	-26	 	 	 	 	 	 	 	 	 	 
 Janet McTeer	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-37	 	 	 	 
 Nancy Kelly	 	 	 	 	-1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Van Heflin	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Ian Holm	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	-7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	47	 	 	 	 	 	 	 	 	 	 
 Jennifer Jones	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	39	39	39	 	 	 	-14	 	 	 	 	 	 	 	 	 	 	 
Martin Landau	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Celia Johnson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-15	 	 	 	 	 	 
 Michael Shannon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Peter OToole	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Claire Trevor	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	28	28	 	 	 	 	 	 	-57	 	 	 	 	 	 	 	21	 	 	 	 	 	 
Agnes Moorehead	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	27	 	0	 	 	 	 	6	 	 	 	 	 	-41	-41	-41	 	3	 	 	 	20	 	28	 	 	 	-3	-5	 	-37	 	-72	-72
 Shirley Booth	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-23	 	 	 	 	 	 	 	 	19	 	 	 	 	-9	 	 	 	 	 	 	 	-5	 	13	 	 	-49	 	 	 
 Helena Bonham Carter	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-29	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Josh Brolin	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	40	 	 	 	 	 	 
 Melissa Leo	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Rita Moreno	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	 	-4	 	 	 	 	 	6
Jessica Tandy	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-25	 	 	 	 	 	 	 	 	 	 	 
 Martin Balsam	 	 	 	 	-2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-20	 	 	 	 	-56	-56	 	 	46	 	 	 
Laurence Harvey	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-22	 	-24	 	 	 	 	 	 
Jeff Chandler	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-40	 	 	 	 	49	 	-10	 	 	 	 	23	 	 
 Sal Mineo	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	66	 	 	 	7	 
Lee Grant	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-3	 	 	 	 	 	 	 	 	 	 
Barbara Bel Geddes	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-4	 	 	 	 	 	 	 	-46	-46	-46	 	 	48	 	 	 	 	-44	-44	 	14
Cicely Tyson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-18	 	 
Ann Harding	 	 	 	 	 	 	 	 	-3	 	 	 	 	 	 	 	 	6	 	 	-12	 	 	-2	 	 	 	 	 	34	 	-16	-10	 	-1	-1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Felicity Huffman	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 Sophie Okonedo	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Barbara ONeil	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	 	 	 	 	 	 	 	 	 	37	 	-60	 	 	-56	 	 	 	 	 	 	41	 	 
 Janet Gaynor	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	20	 	 	 	 	 	 	 	 	-3	 	 	 	 	 	 	 	 	-6	 	 	 	 	 	 	 
Jennifer Jones	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-29	 	 	 	-29	 	-40	 	 	 	 	 	 
Catherine Deneuve	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Richard Attenborough	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Helen Hayes	 	-2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-23	 	 	-17	 	 	 	 	 	 	 	-12	-5	 	 	 	 	 	51	 	 	-6	 	 	 	 	 	 	 	 
 Mary Elizabeth Mastrantonio	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	 	 	 	 	 	 	 	 	 	 
Liza Minnelli	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	38	 	 	 	 	 	 	 	 
 Berenice Bejo	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-20	 	 	 	 	 	 	 	 	-28	 	 	 	 	 	 	 	 	 	 	 	 	 
 Sally Kirkland	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-1	 	 	-19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Rosalind Russell	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	25	 	 	 	 	 	 	 	 	 	 	 	 	 	49	 	 	 	 	 	 	 	 	 	 	 	 	 
